Id da RUN,Score,Deliveres,steps,seed,status
1,98,6,137,1,completed
2,-106,6,217,2,completed
3,88,6,139,3,completed
4,56,6,177,4,completed
5,50,6,171,5,completed
6,-14,6,171,6,completed
7,55,6,184,7,completed
8,51,6,154,8,completed
9,-115,6,214,9,completed
10,-3,6,183,10,completed
11,-205,6,214,11,completed
12,-256,6,256,12,completed
13,146,6,129,13,completed
14,-9,6,171,14,completed
15,115,6,147,15,completed
16,147,6,115,16,completed
17,31,6,176,17,completed
18,-91,6,203,18,completed
19,96,6,161,19,completed
20,96,6,124,20,completed
21,-235,6,257,21,completed
22,-52,6,177,22,completed
23,-186,6,234,23,completed
24,-25,6,186,24,completed
25,101,6,139,25,completed
26,20,6,183,26,completed
27,43,6,169,27,completed
28,44,6,178,28,completed
29,32,6,160,29,completed
30,81,6,160,30,completed
31,16,6,160,31,completed
32,-62,6,198,32,completed
33,70,6,152,33,completed
34,-96,6,211,34,completed
35,85,6,142,35,completed
36,105,6,164,36,completed
37,-43,6,182,37,completed
38,-41,6,188,38,completed
39,-110,6,201,39,completed
40,-21,6,183,40,completed
41,63,6,164,41,completed
42,134,6,138,42,completed
43,109,6,137,43,completed
44,24,6,161,44,completed
45,135,6,136,45,completed
46,76,6,166,46,completed
47,26,6,170,47,completed
48,75,6,164,48,completed
49,69,6,134,49,completed
50,-93,6,215,50,completed
51,-61,6,200,51,completed
52,129,6,137,52,completed
53,162,6,138,53,completed
54,70,6,164,54,completed
55,84,6,178,55,completed
56,21,6,163,56,completed
57,68,6,164,57,completed
58,-100,6,193,58,completed
59,-257,6,251,59,completed
60,18,6,166,60,completed
61,10,6,155,61,completed
62,-82,6,191,62,completed
63,-17,6,173,63,completed
64,111,6,133,64,completed
65,17,6,165,65,completed
66,-29,6,190,66,completed
67,-45,6,183,67,completed
68,133,6,127,68,completed
69,18,6,141,69,completed
70,25,6,165,70,completed
71,15,6,162,71,completed
72,23,6,162,72,completed
73,109,6,118,73,completed
74,92,6,151,74,completed
75,6,6,162,75,completed
76,-77,6,202,76,completed
77,9,6,158,77,completed
78,46,6,129,78,completed
79,91,6,151,79,completed
80,-54,6,187,80,completed
81,-141,6,202,81,completed
82,-85,6,192,82,completed
83,41,6,154,83,completed
84,-163,6,217,84,completed
85,17,6,164,85,completed
86,106,6,134,86,completed
87,80,6,142,87,completed
88,126,6,127,88,completed
89,22,6,165,89,completed
90,-85,6,200,90,completed
91,-279,6,233,91,completed
92,-133,6,214,92,completed
93,-204,6,217,93,completed
94,-153,6,214,94,completed
95,21,6,155,95,completed
96,-41,6,169,96,completed
97,32,6,165,97,completed
98,-230,6,229,98,completed
99,103,6,143,99,completed
100,-218,6,239,100,completed
101,39,6,154,101,completed
102,-64,6,170,102,completed
103,140,6,143,103,completed
104,71,6,154,104,completed
105,-67,6,212,105,completed
106,114,6,141,106,completed
107,82,6,147,107,completed
108,-1,6,181,108,completed
109,16,6,161,109,completed
110,12,6,162,110,completed
111,111,6,138,111,completed
112,120,6,120,112,completed
113,51,6,156,113,completed
114,10,6,173,114,completed
115,-75,6,193,115,completed
116,-217,6,233,116,completed
117,-39,6,171,117,completed
118,-34,6,156,118,completed
119,-72,6,199,119,completed
120,-171,6,245,120,completed
121,-72,6,183,121,completed
122,157,6,116,122,completed
123,64,6,156,123,completed
124,72,6,154,124,completed
125,-45,6,184,125,completed
126,109,6,139,126,completed
127,-101,6,200,127,completed
128,23,6,168,128,completed
129,-15,6,180,129,completed
130,71,6,171,130,completed
131,105,6,140,131,completed
132,64,6,138,132,completed
133,-43,6,183,133,completed
134,138,6,133,134,completed
135,148,6,143,135,completed
136,-1,6,156,136,completed
137,-50,6,177,137,completed
138,157,6,142,138,completed
139,-21,6,157,139,completed
140,96,6,143,140,completed
141,3,6,168,141,completed
142,121,6,137,142,completed
143,134,6,150,143,completed
144,42,6,157,144,completed
145,74,6,156,145,completed
146,-98,6,204,146,completed
147,161,6,118,147,completed
148,70,6,143,148,completed
149,38,6,156,149,completed
150,76,6,137,150,completed
151,-3,6,191,151,completed
152,-1,6,165,152,completed
153,60,6,165,153,completed
154,36,6,172,154,completed
155,-52,6,206,155,completed
156,99,6,159,156,completed
157,114,6,139,157,completed
158,-13,6,202,158,completed
159,3,6,174,159,completed
160,44,6,175,160,completed
161,-125,6,209,161,completed
162,135,6,127,162,completed
163,-329,6,298,163,completed
164,93,6,134,164,completed
165,-38,6,175,165,completed
166,4,6,167,166,completed
167,21,6,149,167,completed
168,55,6,144,168,completed
169,-138,6,239,169,completed
170,28,6,165,170,completed
171,-1,6,179,171,completed
172,68,6,145,172,completed
173,-10,6,181,173,completed
174,-90,6,207,174,completed
175,49,6,165,175,completed
176,-8,6,181,176,completed
177,111,6,158,177,completed
178,98,6,145,178,completed
179,45,6,148,179,completed
